Chiave,Testo
Q1D1,T1
Q1D2,T2
Q1D3,T3
Q1D4,T4
Q1D5,T5
Q1D6,T6
Q1D7,T7
Q1D8,T8
Q1D9,T9
Q1D10,T10
Q2D1,T11
Q2D2,T12
Q2D3,T13
Q2D4,T14
Q2D5,T15
Q2D6,T16
Q2D7,T17
Q2D8,T18
Q2D9,T19
Q2D10,T20
Q3D1,T21
Q3D2,T22
Q3D3,T23
Q3D4,T24
Q3D5,T25
Q3D6,T26
Q3D7,T27
Q3D8,T28
Q3D9,T29
Q3D10,T30
Q4D1,T31
Q4D2,T32
Q4D3,T33
Q4D4,T34
Q4D5,T35
Q4D6,T36
Q4D7,T37
Q4D8,T38
Q4D9,T39
Q4D10,T40
Q5D1,T41
Q5D2,T42
Q5D3,T43
Q5D4,T44
Q5D5,T45
Q5D6,T46
Q5D7,T47
Q5D8,T48
Q5D9,T49
Q5D10,T50
Q6D1,T51
Q6D2,T52
Q6D3,T53
Q6D4,T54
Q6D5,T55
Q6D6,T56
Q6D7,T57
Q6D8,T58
Q6D9,T59
Q6D10,T60
Q7D1,T61
Q7D2,T62
Q7D3,T63
Q7D4,T64
Q7D5,T65
Q7D6,T66
Q7D7,T67
Q7D8,T68
Q7D9,T69
Q7D10,T70
