Candidato,Professione,Livello
1,Inglese,2
1,Francese,2
1,Russo,2
2,Italiano,2
2,Giapponese,2
2,Inglese,2
3,Cinese,2
3,Tedesco,2
3,Francese,2
4,Portoghese,2
4,Inglese,2
4,Francese,2
5,Russo,2
5,Italiano,2
5,Giapponese,2
6,Inglese,2
6,Cinese,2
6,Tedesco,2
7,Francese,2
7,Portoghese,2
7,Inglese,2
8,Francese,2
8,Russo,2
8,Italiano,2
9,Giapponese,2
9,Inglese,2
9,Cinese,2
10,Tedesco,2
10,Francese,2
10,Portoghese,2
11,Inglese,3
11,Francese,3
11,Russo,3
12,Italiano,3
12,Giapponese,3
12,Inglese,3
13,Cinese,3
13,Tedesco,3
13,Francese,3
14,Portoghese,3
14,Inglese,3
14,Francese,3
15,Russo,3
15,Italiano,3
15,Giapponese,3
16,Inglese,3
16,Cinese,3
16,Tedesco,3
17,Francese,3
17,Portoghese,3
17,Inglese,3
18,Francese,3
18,Russo,3
18,Italiano,3
19,Giapponese,3
19,Inglese,3
19,Cinese,3
20,Tedesco,3
20,Francese,3
20,Portoghese,3
21,Inglese,3
21,Francese,3
21,Russo,3
22,Italiano,3
22,Giapponese,3
22,Inglese,3
23,Cinese,3
23,Tedesco,3
23,Francese,3
24,Portoghese,3
24,Inglese,3
24,Francese,3
25,Russo,3
25,Italiano,3
25,Giapponese,3
26,Inglese,3
26,Cinese,3
26,Tedesco,3
27,Francese,3
27,Portoghese,3
27,Inglese,3
28,Francese,3
28,Russo,3
84,Italiano,3
85,Giapponese,3
86,Inglese,3
87,Cinese,3
88,Tedesco,3
89,Francese,3
90,Portoghese,3
91,L1,3
92,L2,3
93,L3,3
94,L4,3
95,L5,3
96,L6,3
97,L7,3
98,L8,3
99,L9,3
100,L10,3
101,L11,3
102,L12,3
103,L13,3
104,L14,3
105,L15,3
106,L1,3
107,L2,3
108,L3,3
109,L4,3
110,L5,3
111,L6,3
112,L7,3
113,L8,3
114,L9,3
115,L10,3
116,L11,3
117,L12,3
118,L13,3
119,L14,3
120,L15,3
121,L1,4
122,L2,4
123,L3,4
82,L4,4
83,L5,4
84,L6,4
85,L7,4
86,L8,4
87,L9,4
88,L10,4
89,L11,4
90,L12,4
91,L13,4
92,L14,4
93,L15,4
94,L1,4
95,L2,4
96,L3,4
97,L4,4
98,L5,4
99,L6,4
100,L7,4
101,L8,4
102,L9,4
103,L10,4
104,L11,4
105,L12,4
106,L13,4
107,L14,4
108,L15,4
109,L1,4
110,L2,4
111,L3,4
112,L4,4
113,L5,4
114,L6,4
115,L7,4
116,L8,4
