Lang,Slide,Posizione,Testo
1,1,1,Sei stato reindirizzato  sul sito xxx  aiutiamo la aziende a capire se sei idoneo per la loro organizzazione.Ti chiediamo di compilare le form e rispondere alle domande  il tempo necessario è circa 40 min.Link per effettuare la registrazione    
1,1,2,Registrazione
1,1,3,Se hai già compilato il test clicca sul link sotto ed effettua la login. Link per effettuare la login
1,1,4,Login
1,4,1,User
1,5,1,Nome
1,5,2,Cognome
1,5,3,Codice Fiscale
1,5,4,Età
1,5,5,Gender
1,5,6,Stato
1,5,7,Provincia
1,5,8,Comune
1,6,1,Questa tematica è dedicata ai tui studi se vuoi inserire i tui studi clicca il link
1,6,2,Inserisci i tuoi studi
1,6,3,altrimenti passa alla tematica successiva cliccando il link
1,6,4,Temeatica successiva
1,7,1,Titolo
1,8,1,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altro studio clicca il link'
1,8,2,Inserisci altro studio
1,8,3,altrimenti passa alla tematica successiva
1,8,4,Temeatica successiva
1,9,1,Questa tematica è dedicata alle tue esperienze lavorative se vuoi inserire le tue esperienze lavorative clicca il link
1,9,2,Inserisci le tue esperienze
1,9,3,altrimenti passa alla tematica successiva cliccando il link
1,9,4,Temeatica successiva
1,10,1,Professione
1,10,2,Durata
1,11,1,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altra esperienza lavorativa clicca il link'
1,11,2,Inserisci altra esperienza lavorativa
1,11,3,altrimenti passa alla tematica successiva
1,11,4,Tematica successiva
1,12,1,Questa tematica è dedicata alle lingue conosciute se vuoi inserire i tui dati clicca il link
1,12,2,Inserisci i tuoi dati
1,12,3,altrimenti passa alla tematica successiva cliccando il link
1,12,4,Temeatica successiva
1,13,1,Lingua
1,13,2,Livello
1,14,1,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altra lingua conosciuta clicca il link'
1,14,2,Inserisci altra lingua
1,14,3,altrimenti passa alla tematica successiva
1,14,4,Temeatica successiva
1,16,1,Clicca sul link per fare modificare o aggiornare i tuoi dati
1,16,2,Modifica i dati
1,17,1,Modifica i tuoi dati cliccando sui link sotto
1,17,2,Modifica i dati Anagrafici
1,17,3,Modifica i dati Lavorativi
1,17,4,Modifica i dati di Studi
1,17,5,Modifica i dati di Lingue
1,18,1,Titolo
1,19,2,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altro studio clicca il link'
1,19,3,Aggiungi studio
1,19,4,altrimenti passa alla tematica successiva cliccando il link
1,19,5,Torna alla pagina iniziale
1,20,1,Titolo
1,21,1,Professione
1,21,2,Durata
1,22,2,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altra esperienza profesionale clicca il link'
1,22,3,Aggiungi Esperienza professionale
1,22,4,altrimenti passa alla tematica successiva cliccando il link
1,22,5,Torna alla pagina iniziale
1,23,1,Professione
1,23,2,Durata
1,24,1,Lingua
1,24,2,Livello
1,25,2,'Grazie l’informazione è stata inserita correttamente se vuoi inserire un''altro studio clicca il link'
1,25,3,Aggiungi Lingua
1,25,4,altrimenti passa alla tematica successiva cliccando il link
1,25,5,Torna alla pagina iniziale
1,26,1,Lingua
1,26,2,Livello
1,27,1,Nome
1,27,2,Cognome
1,27,3,Codice Fiscale
1,27,4,Eta
1,27,5,Gender
1,27,6,Stato
1,27,7,Provincia
1,27,8,Comune
2,1,1,You have been redirected to the xxx site we help companies to understand if you are suitable for their organization.We ask you to fill in the forms and answer the questions the time required is about 40 min. Link to register
2,1,2,Registration
2,1,3,If you have already completed the test click on the link below and log in. Link to login
2,1,4,Login
2,4,1,User
2,5,1,First name
2,5,2,Surname
2,5,3,Fiscal Code
2,5,4,Age
2,5,5,Gender
2,5,6,State
2,5,7,province
2,5,8,Common
2,6,1,This topic is dedicated to your studies if you want to insert your studies click the link
2,6,2,Enter your studies
2,6,3,otherwise go to the next topic by clicking the link
2,6,4,Subsequent theme
2,7,1,Title
2,8,1,'Thank you, the information has been entered correctly if you want to add another study click the link'
2,8,2,Enter another study
2,8,3,otherwise go to the next topic
2,8,4,Subsequent theme
2,9,1,This topic is dedicated to your work experiences if you want to insert your work experiences click the link
2,9,2,Enter your experiences
2,9,3,otherwise go to the next topic by clicking the link
2,9,4,Subsequent theme
2,10,1,Profession
2,10,2,Duration
2,11,1,'Thank you, the information has been entered correctly. If you want to add another work experience click the link'
2,11,2,Enter other work experience
2,11,3,otherwise go to the next topic
2,11,4,Next topic
2,12,1,This topic is dedicated to known languages ​​if you want to enter your data click the link
2,12,2,Insert your data
2,12,3,otherwise go to the next topic by clicking the link
2,12,4,Subsequent theme
2,13,1,Tongue
2,13,2,Level
2,14,1,'Thanks, the information has been entered correctly. If you want to enter another known language click the link'
