Candidato,Algoritmo,Previsione,Esito
1,1,0.32,0
2,2,0.18,0
3,3,0.01,0
4,4,0.7,1
5,5,0.03,0
6,6,0.8,1
7,7,0.42,0
8,8,0.03,0
9,9,0.76,1
10,10,0.31,0
11,1,0.73,1
12,2,0.43,0
13,3,0.56,1
14,4,0.44,0
15,5,0.35,0
16,6,0.53,1
17,7,0.95,1
18,8,0.3,0
19,9,0.5,0
20,10,0.81,1
21,1,0.03,0
22,2,0.74,1
23,3,0.29,0
24,4,0.95,1
25,5,0.93,1
26,6,0.44,0
27,7,0.5,1
28,8,0.42,0
29,9,0.69,1
30,10,0.91,1
31,1,0.52,1
32,2,0.35,0
33,3,0.53,1
34,4,0.91,1
35,5,0.7,1
36,6,0.22,0
37,7,0.72,1
38,8,0.89,1
39,9,0.23,0
40,10,0.27,0
41,1,0.75,1
42,2,0.96,1
43,3,0.36,0
44,4,0.98,1
45,5,0.64,1
46,6,0.92,1
47,7,0.88,1
48,8,0.14,0
49,9,0.17,0
50,10,0.74,1
51,1,0.99,1
52,2,0.16,0
53,3,0.68,1
54,4,0.76,1
55,5,0.22,0
56,6,1,1
57,7,0.12,0
58,8,0.25,0
59,9,0.86,1
60,10,0.5,1
61,1,0.75,1
62,2,0.43,0
63,3,0.7,1
64,4,0.11,0
65,5,0.95,1
66,6,0.3,0
67,7,0.43,0
68,8,0.97,1
69,9,1,1
70,10,0.54,1
71,1,0.71,1
72,2,0.94,1
73,3,0.01,0
74,4,0.9,1
75,5,0.12,0
76,6,0.3,0
77,7,0.62,1
78,8,0.92,1
79,9,0.92,1
80,10,0.12,0
81,1,0.11,0
82,2,0.27,0
83,3,0.33,0
84,4,0.81,1
85,5,0.5,0
86,6,0.23,0
87,7,0.75,1
88,8,0.29,0
89,9,0.86,1
90,10,0.79,1
91,1,0.77,1
92,2,0.74,1
93,3,0.79,1
94,4,0.62,1
95,5,0.91,1
96,6,0.82,1
97,7,0.9,1
98,8,0.04,0
99,9,0.59,1
100,10,0.51,1
101,1,0.04,0
102,2,0.95,1
103,3,0.97,1
104,4,0.01,0
105,5,0.33,0
106,6,0.07,0
107,7,0.22,0
108,8,0.36,0
109,9,0.3,0
110,10,0.64,1
111,1,0.36,0
112,2,1,1
113,3,0.78,1
114,4,0.05,0
